PATH,METHOD,OPERATION
/apps/{appId}/versions/{versionId}/patterns,GET,Features_GetApplicationVersionPatternFeatures
/apps/{appId}/versions/{versionId}/patterns,POST,Features_CreatePatternFeature
/apps/{appId}/versions/{versionId}/phraselists,GET,Features_GetApplicationVersionPhraselistFeatures
/apps/{appId}/versions/{versionId}/phraselists,POST,Features_CreatePhraselistFeature
/apps/{appId}/versions/{versionId}/features,GET,Features_GetApplicationVersionFeatures
/apps/{appId}/versions/{versionId}/patterns/{patternId},GET,Features_GetPatternFeatureInfo
/apps/{appId}/versions/{versionId}/patterns/{patternId},PUT,Features_UpdatePatternFeature
/apps/{appId}/versions/{versionId}/patterns/{patternId},DELETE,Features_DeletePatternFeature
/apps/{appId}/versions/{versionId}/phraselists/{phraselistId},GET,Features_GetPhraselistFeatureInfo
/apps/{appId}/versions/{versionId}/phraselists/{phraselistId},PUT,Features_UpdatePhraselistFeature
/apps/{appId}/versions/{versionId}/phraselists/{phraselistId},DELETE,Features_DeletePhraselistFeature
/apps/{appId}/versions/{versionId}/example,POST,Examples_AddLabel
/apps/{appId}/versions/{versionId}/examples,GET,Examples_ReviewLabeledExamples
/apps/{appId}/versions/{versionId}/examples,POST,Examples_BatchAddLabels
/apps/{appId}/versions/{versionId}/examples/{exampleId},DELETE,Examples_DeleteExampleLabels
/apps/{appId}/versions/{versionId}/intents,GET,Model_GetApplicationVersionIntentInfos
/apps/{appId}/versions/{versionId}/intents,POST,Model_CreateIntentClassifier
/apps/{appId}/versions/{versionId}/entities,GET,Model_GetApplicationVersionEntityInfos
/apps/{appId}/versions/{versionId}/entities,POST,Model_CreateEntityExtractor
/apps/{appId}/versions/{versionId}/hierarchicalentities,GET,Model_GetApplicationVersionHierarchicalEntityInfos
/apps/{appId}/versions/{versionId}/hierarchicalentities,POST,Model_CreateHierarchicalEntityExtractor
/apps/{appId}/versions/{versionId}/compositeentities,GET,Model_GetApplicationVersionCompositeEntityInfos
/apps/{appId}/versions/{versionId}/compositeentities,POST,Model_CreateCompositeEntityExtractor
/apps/{appId}/versions/{versionId}/closedlists,GET,Model_GetApplicationVersionClosedListInfos
/apps/{appId}/versions/{versionId}/closedlists,POST,Model_CreateClosedListEntityModel
/apps/{appId}/versions/{versionId}/prebuilts,GET,Model_GetApplicationVersionPrebuiltInfos
/apps/{appId}/versions/{versionId}/prebuilts,POST,Model_AddPrebuiltEntityExtractors
/apps/{appId}/versions/{versionId}/listprebuilts,GET,Model_GetAvailablePrebuiltEntityExtractors
/apps/{appId}/versions/{versionId}/models,GET,Model_GetApplicationVersionModelInfos
/apps/{appId}/versions/{versionId}/intents/{intentId},GET,Model_GetIntentInfo
/apps/{appId}/versions/{versionId}/intents/{intentId},PUT,Model_RenameIntentModel
/apps/{appId}/versions/{versionId}/intents/{intentId},DELETE,Model_DeleteIntentModel
/apps/{appId}/versions/{versionId}/entities/{entityId},GET,Model_GetEntityInfo
/apps/{appId}/versions/{versionId}/entities/{entityId},PUT,Model_RenameEntityModel
/apps/{appId}/versions/{versionId}/entities/{entityId},DELETE,Model_DeleteEntityModel
/apps/{appId}/versions/{versionId}/hierarchicalentities/{hEntityId},GET,Model_GetHierarchicalEntityInfo
/apps/{appId}/versions/{versionId}/hierarchicalentities/{hEntityId},PUT,Model_UpdateHierarchicalEntityModel
/apps/{appId}/versions/{versionId}/hierarchicalentities/{hEntityId},DELETE,Model_DeleteHierarchicalEntityModel
/apps/{appId}/versions/{versionId}/compositeentities/{cEntityId},GET,Model_GetCompositeEntityInfo
/apps/{appId}/versions/{versionId}/compositeentities/{cEntityId},PUT,Model_UpdateCompositeEntityModel
/apps/{appId}/versions/{versionId}/compositeentities/{cEntityId},DELETE,Model_DeleteCompositeEntityModel
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId},GET,Model_GetClosedListEntityInfo
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId},PUT,Model_UpdateClosedListEntityModel
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId},DELETE,Model_DeleteClosedListEntityModel
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId},PATCH,Model_PatchClosedListEntityModel
/apps/{appId}/versions/{versionId}/prebuilts/{prebuiltId},GET,Model_GetPrebuiltInfo
/apps/{appId}/versions/{versionId}/prebuilts/{prebuiltId},DELETE,Model_DeletePrebuiltModel
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId}/sublists/{subListId},PUT,Model_UpdateSubList
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId}/sublists/{subListId},DELETE,Model_DeleteSubList
/apps/{appId}/versions/{versionId}/intents/{intentId}/suggest,GET,Model_SuggestEndpointQueriesForIntents
/apps/{appId}/versions/{versionId}/entities/{entityId}/suggest,GET,Model_SuggestEndpointQueriesForEntities
/apps/,GET,Apps_GetApplicationsList
/apps/,POST,Apps_AddApplication
/apps/import,POST,Apps_ImportApplication
/apps/assistants,GET,Apps_GetPersonalAssistantApplications
/apps/domains,GET,Apps_GetApplicationDomains
/apps/usagescenarios,GET,Apps_GetApplicationUsageScenarios
/apps/cultures,GET,Apps_GetApplicationCultures
/apps/{appId}/querylogs,GET,Apps_DownloadApplicationQueryLogs
/apps/{appId},GET,Apps_GetApplicationInfo
/apps/{appId},PUT,Apps_RenameApplication
/apps/{appId},DELETE,Apps_DeleteApplication
/apps/{appId}/versions/{versionId}/clone,POST,Versions_CloneVersion
/apps/{appId}/publish,POST,Apps_PublishApplication
/apps/{appId}/versions,GET,Versions_GetApplicationVersions
/apps/{appId}/versions/{versionId}/,GET,Versions_GetApplicationVersion
/apps/{appId}/versions/{versionId}/,PUT,Versions_RenameApplicationVersion
/apps/{appId}/versions/{versionId}/,DELETE,Versions_DeleteApplicationVersion
/apps/{appId}/versions/{versionId}/export,GET,Versions_ExportApplicationVersion
/apps/{appId}/versions/{versionId}/assignedkey,GET,Versions_GetApplicationVersionSubscriptionKey
/apps/{appId}/versions/{versionId}/assignedkey,PUT,Versions_AssignSubscriptionKeyToVersion
/apps/{appId}/versions/{versionId}/externalKeys,GET,Versions_GetApplicationVersionExternalApiKeys
/apps/{appId}/versions/{versionId}/externalKeys,PUT,Versions_UpdateApplicationVersionExternalKey
/apps/{appId}/versions/{versionId}/externalKeys/{keyType},DELETE,Versions_DeleteApplicationVersionExternalKey
/apps/{appId}/versions/{versionId}/train,GET,Train_GetApplicationVersionTrainingStatus
/apps/{appId}/versions/{versionId}/train,POST,Train_TrainApplicationVersion
/subscriptions,GET,User_GetUserSubscriptionKeys
/subscriptions,POST,User_AddSubscriptionKey
/subscriptions,PUT,User_RenameSubscriptionKey
/externalKeys,GET,User_GetUserExternalApiKeys
/externalKeys,POST,User_AddExternalApiKey
/programmatickey,PUT,User_ResetProgrammaticKey
/subscriptions/{subscriptionKey},DELETE,User_DeleteSubscriptionKey
/externalKeys/{externalKeyValue},DELETE,User_DeleteExternalApiKey
/apps/{appId}/versions/import,POST,Versions_ImportVersionToApplication
/apps/{appId}/settings,GET,Apps_GetApplicationSettings
/apps/{appId}/settings,PUT,Apps_UpdateApplicationSettings
/apps/{appId}/versions/{versionId}/suggest,DELETE,Versions_DeleteUnlabelledUtterance
/apps/{appId}/permissions,GET,Permissions_GetApplicationUserAccessList
/apps/{appId}/permissions,POST,Permissions_AddUserToAccessList
/apps/{appId}/permissions,PUT,Permissions_UpdateAccessList
/apps/{appId}/permissions,DELETE,Permissions_RemoveUserFromAccessList
/apps/{appId}/endpoints,GET,Apps_GetEndpoints
/apps/{appId}/versions/{versionId}/closedlists/{clEntityId}/sublists,POST,Model_AddSubList
/apps/{appId}/versions/{versionId}/customprebuiltdomains,POST,Model_AddCustomPrebuiltDomainToApplication
/apps/{appId}/versions/{versionId}/customprebuiltintents,GET,Model_GetCustomPrebuiltDomainIntentsInfo
/apps/{appId}/versions/{versionId}/customprebuiltintents,POST,Model_AddCustomPrebuiltIntentModel
/apps/{appId}/versions/{versionId}/customprebuiltentities,GET,Model_GetCustomPrebuiltDomainEntitiesInfo
/apps/{appId}/versions/{versionId}/customprebuiltentities,POST,Model_AddCustomPrebuiltEntityModel
/apps/{appId}/versions/{versionId}/customprebuiltmodels,GET,Model_GetCustomPrebuiltDomainModelsInfo
/apps/{appId}/versions/{versionId}/customprebuiltdomains/{domainName},DELETE,Model_DeleteCustomPrebuiltDomainModels
/apps/customprebuiltdomains,GET,Apps_GetAvailableCustomPrebuiltDomains
/apps/customprebuiltdomains,POST,Apps_AddCustomPrebuiltApplication
/apps/customprebuiltdomains/{culture},GET,Apps_GetAvailableCustomPrebuiltDomainsForCulture
/apps/{appId}/versions/{versionId}/hierarchicalentities/{hEntityId}/children/{hChildId},GET,Model_GetHierarchicalEntityChildInfo
